# Diverse target URLs for Simplify failure-pattern survey
# Format: <ats>|<url>
# Already-tested in iterations 19-24 are NOT included; this file is for fresh data.
greenhouse|https://job-boards.greenhouse.io/anthropic/jobs/5161980008
greenhouse|https://job-boards.greenhouse.io/anthropic/jobs/5165641008
greenhouse|https://job-boards.greenhouse.io/figma/jobs/5822886004?gh_jid=5822886004
greenhouse|https://job-boards.greenhouse.io/figma/jobs/5364702004?gh_jid=5364702004
greenhouse|https://boards.greenhouse.io/cloudflare/jobs/7480799?gh_jid=7480799
greenhouse|https://boards.greenhouse.io/cloudflare/jobs/7525971?gh_jid=7525971
ashby|https://jobs.ashbyhq.com/Linear/d3bc1ced-3ce4-4086-a050-555055dbb1ff
ashby|https://jobs.ashbyhq.com/Linear/cd5ae036-0223-427a-b038-ba16ef9dcb32
